sport,program,homepage,platform_detected,lead_tier,tier_rationale,tpv_min_k,tpv_max_k,region,contact_rank,contact_name,contact_title,contact_email,contact_linkedin,contact_source,outreach_channel,email_subject,outreach_body
Baseball,ExtraInnings Baseball,extrainningsbaseball.com,,1,DIY/Custom/Unknown — highest switching potential,75,600,National,2,Research Required,Club Administrator,,,Manual research required,linkedin,Quick question about ExtraInnings Baseball's registration setup,Hi there — I came across ExtraInnings Baseball while researching elite Baseball programs in National. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Elite Baseball of Lemont,elitebaseballoflemont.com,,1,DIY/Custom/Unknown — highest switching potential,75,600,Midwest,1,Research Required,Founder / Director,,,elitebaseballoflemont.com — verify domain,linkedin,Quick question about Elite Baseball of Lemont's registration setup,Hi there — I came across Elite Baseball of Lemont while researching elite Baseball programs in Midwest. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Elite Baseball of Lemont,elitebaseballoflemont.com,,1,DIY/Custom/Unknown — highest switching potential,75,600,Midwest,2,Research Required,Club Administrator,,,Manual research required,linkedin,Quick question about Elite Baseball of Lemont's registration setup,Hi there — I came across Elite Baseball of Lemont while researching elite Baseball programs in Midwest. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Baseball Youth,baseballyouth.com,Custom (Athletx Sports Group),1,DIY/Custom/Unknown — highest switching potential,75,600,Mid-Atlantic,1,Jim Haddaway,CEO / Founder (Athletx Sports Group),info@baseballyouth.com,,baseballyouth.com / Athletx Sports Group,email,Quick question about Baseball Youth's registration setup,"Hi Jim,

I came across Baseball Youth while mapping top Baseball programs in Mid-Atlantic — impressive what you've built. I noticed you're handling registration and payments through a custom setup, which usually means you've outgrown what the off-the-shelf platforms offer.

We work with programs like yours to modernize payment collection — better parent UX, faster reconciliation, lower processing fees — without disrupting what's already working. No platform lock-in, no long-term contracts.

Would 15 minutes this week make sense? Happy to show you what it looks like for a program at Baseball Youth's level.

Best,
[Your Name]
[Company] | [Phone]"
Baseball,Baseball Youth,baseballyouth.com,Custom (Athletx Sports Group),1,DIY/Custom/Unknown — highest switching potential,75,600,Mid-Atlantic,2,Research Required,Director of Operations,,,Visit baseballyouth.com/contact,linkedin,Quick question about Baseball Youth's registration setup,Hi there — I came across Baseball Youth while researching elite Baseball programs in Mid-Atlantic. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Diamond Sports,diamondsportsinc.com,,1,DIY/Custom/Unknown — highest switching potential,75,600,National,1,Research Required,Founder / Director,,,diamondsportsinc.com — verify domain,linkedin,Quick question about Diamond Sports's registration setup,Hi there — I came across Diamond Sports while researching elite Baseball programs in National. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,Diamond Sports,diamondsportsinc.com,,1,DIY/Custom/Unknown — highest switching potential,75,600,National,2,Research Required,Club Administrator,,,Manual research required,linkedin,Quick question about Diamond Sports's registration setup,Hi there — I came across Diamond Sports while researching elite Baseball programs in National. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Baseball,EvoShield Canes (Southeast),canesbaseball.net/southeast,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",75,600,Southeast,1,Jeff Petty,Founder / President & CEO,info@canesbaseball.net,,canesbaseball.net — SE chapter of Canes network,email,A note for EvoShield Canes (Southeast) on LeagueApps payment costs,"Hi Jeff,

EvoShield Canes (Southeast) is one of the top Baseball programs in the country. We work with several LeagueApps clubs to reduce per-transaction payment costs and improve the family payment experience — without replacing LeagueApps for everything it does well.

Happy to share specific numbers in 15 minutes.

Best,
[Your Name]
[Company] | [Phone]"
Baseball,EvoShield Canes (Southeast),canesbaseball.net/southeast,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",75,600,Southeast,2,Research Required,Southeast Regional Director,,,Visit canesbaseball.net/southeast,linkedin,A note for EvoShield Canes (Southeast) on LeagueApps payment costs,Hi there — EvoShield Canes (Southeast) is one of the top Baseball programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,3d Lacrosse,3dlacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,National,1,Research Required,Executive Director,info@3dlacrosse.com,,3dlacrosse.com (3STEP Sports family),linkedin,A note for 3d Lacrosse on LeagueApps payment costs,Hi there — 3d Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,3d Lacrosse,3dlacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,National,2,Research Required,National Director,,,Visit register.threestep.com,linkedin,A note for 3d Lacrosse on LeagueApps payment costs,Hi there — 3d Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,True Lacrosse,truelacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,National,1,Research Required,Executive Director,info@truelacrosse.com,,truelacrosse.com,linkedin,A note for True Lacrosse on LeagueApps payment costs,Hi there — True Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,True Lacrosse,truelacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,National,2,Research Required,National Director,,,Visit truelacrosse.leagueapps.com,linkedin,A note for True Lacrosse on LeagueApps payment costs,Hi there — True Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Predators Lacrosse,predatorslacrosse.com,Unknown / Custom,1,DIY/Custom/Unknown — highest switching potential,60,400,Mid-Atlantic,1,Eric Greenberg,CEO / Founder,info@predatorslacrosse.com,linkedin.com/in/eric-greenberg-a6b833165,LinkedIn / predatorslacrosse.com,email,Quick question about Predators Lacrosse's registration setup,"Hi Eric,

I came across Predators Lacrosse while mapping top Lacrosse programs in Mid-Atlantic — impressive what you've built. I noticed you're handling registration and payments through a custom setup, which usually means you've outgrown what the off-the-shelf platforms offer.

We work with programs like yours to modernize payment collection — better parent UX, faster reconciliation, lower processing fees — without disrupting what's already working. No platform lock-in, no long-term contracts.

Would 15 minutes this week make sense? Happy to show you what it looks like for a program at Predators Lacrosse's level.

Best,
[Your Name]
[Company] | [Phone]"
Lacrosse,Predators Lacrosse,predatorslacrosse.com,Unknown / Custom,1,DIY/Custom/Unknown — highest switching potential,60,400,Mid-Atlantic,2,Alexandra Goldstein,Girls Program Director,,,predatorslacrosse.com staff page,linkedin,Quick question about Predators Lacrosse's registration setup,Hi Alexandra — I came across Predators Lacrosse while researching elite Lacrosse programs in Mid-Atlantic. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Lacrosse,Leading Edge Lacrosse,leadingedgelacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Northeast,1,Marc Moreau,Director,info@leadingedgeelite.com,,LeagueApps case study (leadingedgeelite.com),email,A note for Leading Edge Lacrosse on LeagueApps payment costs,"Hi Marc,

Leading Edge Lacrosse is one of the top Lacrosse programs in the country. We work with several LeagueApps clubs to reduce per-transaction payment costs and improve the family payment experience — without replacing LeagueApps for everything it does well.

Happy to share specific numbers in 15 minutes.

Best,
[Your Name]
[Company] | [Phone]"
Lacrosse,Leading Edge Lacrosse,leadingedgelacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Northeast,2,Research Required,Club Administrator,,,Visit leadingedgeelite.leagueapps.com,linkedin,A note for Leading Edge Lacrosse on LeagueApps payment costs,Hi there — Leading Edge Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Laxachusetts,laxachusetts.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",60,400,Northeast,1,Research Required,Executive Director,info@laxachusetts.com,,laxachusetts.com (Marshfield MA),linkedin,Payment fees for Laxachusetts on SportsEngine — worth a look,Hi there — Laxachusetts is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Laxachusetts,laxachusetts.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",60,400,Northeast,2,Research Required,Club Administrator,,,Visit sportsengine.com/org/laxachusetts,linkedin,Payment fees for Laxachusetts on SportsEngine — worth a look,Hi there — Laxachusetts is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,MadLax,madlax.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",60,400,Mid-Atlantic,1,Research Required,Executive Director,info@madlax.com,,madlax.com,linkedin,Payment fees for MadLax on SportsEngine — worth a look,Hi there — MadLax is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,MadLax,madlax.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",60,400,Mid-Atlantic,2,Research Required,Club Administrator,,,Visit sportsengine.com/org/madlax-3478,linkedin,Payment fees for MadLax on SportsEngine — worth a look,Hi there — MadLax is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Chesapeake Bayhawks Youth,bayhawksyouth.com,,1,DIY/Custom/Unknown — highest switching potential,60,400,Mid-Atlantic,1,Research Required,Executive Director,,,bayhawksyouth.com — site not resolving; research required,linkedin,Quick question about Chesapeake Bayhawks Youth's registration setup,Hi there — I came across Chesapeake Bayhawks Youth while researching elite Lacrosse programs in Mid-Atlantic. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Lacrosse,Chesapeake Bayhawks Youth,bayhawksyouth.com,,1,DIY/Custom/Unknown — highest switching potential,60,400,Mid-Atlantic,2,Research Required,Program Director,,,Manual research required,linkedin,Quick question about Chesapeake Bayhawks Youth's registration setup,Hi there — I came across Chesapeake Bayhawks Youth while researching elite Lacrosse programs in Mid-Atlantic. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Lacrosse,Trilogy Lacrosse,trilogylacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Mid-Atlantic,1,Research Required,Founder / Director,info@trilogylacrosse.com,,trilogylacrosse.com (founded by Ryan Boyle & Rob Lindsey),linkedin,A note for Trilogy Lacrosse on LeagueApps payment costs,Hi there — Trilogy Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Trilogy Lacrosse,trilogylacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Mid-Atlantic,2,Research Required,Club Administrator,,,Visit trilogylacrosse.leagueapps.com,linkedin,A note for Trilogy Lacrosse on LeagueApps payment costs,Hi there — Trilogy Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Express Lacrosse,expresslacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Northeast,1,Research Required,Executive Director,info@expresslacrosse.com,,expresslacrosse.com (Long Island Express flagship),linkedin,A note for Express Lacrosse on LeagueApps payment costs,Hi there — Express Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Express Lacrosse,expresslacrosse.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Northeast,2,Research Required,Club Administrator,,,Visit liexpress.leagueapps.com,linkedin,A note for Express Lacrosse on LeagueApps payment costs,Hi there — Express Lacrosse is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Annapolis Hawks,annapolishawks.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Mid-Atlantic,1,Research Required,Executive Director,hawkslacrosse@outlook.com,,annapolishawks.com / annapolishawks.leagueapps.com,linkedin,A note for Annapolis Hawks on LeagueApps payment costs,Hi there — Annapolis Hawks is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Lacrosse,Annapolis Hawks,annapolishawks.com,LeagueApps,3,"Entrenched (LeagueApps) — low switching, but high volume",60,400,Mid-Atlantic,2,Research Required,Club Administrator,,,Visit annapolishawks.leagueapps.com,linkedin,A note for Annapolis Hawks on LeagueApps payment costs,Hi there — Annapolis Hawks is one of the top Lacrosse programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Little Caesars AAA Hockey,littlecaesarshockey.com,Crossbar,2,Small platform (Crossbar) — upgrade opportunity,100,750,Midwest,1,Brian Rolston,Director of Hockey,info@lcfhhockey.org,,littlecaesarshockey.com,email,For Little Caesars AAA Hockey on Crossbar — a quick thought,"Hi Brian,

I noticed Little Caesars AAA Hockey is running on Crossbar — great choice for team management and schedules. We work alongside Crossbar with several elite Hockey clubs to handle the payment layer specifically: processing fees, failed payments, and manual reconciliation are often where clubs feel the most friction.

We layer in cleanly without replacing Crossbar for everything it does well. Worth 15 minutes to show you how it works for a club your size?

Best,
[Your Name]
[Company] | [Phone]"
Hockey,Little Caesars AAA Hockey,littlecaesarshockey.com,Crossbar,2,Small platform (Crossbar) — upgrade opportunity,100,750,Midwest,2,Research Required,Club Administrator,,,Visit littlecaesarshockey.com/staff,linkedin,For Little Caesars AAA Hockey on Crossbar — a quick thought,"Hi there — noticed Little Caesars AAA Hockey is on Crossbar. We work with several Crossbar Hockey clubs to reduce the payment friction layer (fees, failed cards, reconciliation). Would a quick 15-min call be worth it?"
Hockey,Shattuck-St. Mary's Hockey,shattucksaintmarys.org,Custom / Active Network,3,"Entrenched (Custom / Active Network) — low switching, but high volume",100,750,Midwest,1,Research Required,Director of Hockey,admissions@s-sm.org,,s-sm.org/athletics/hockey — boarding school model,linkedin,Payment optimization question for Shattuck-St. Mary's Hockey,Hi there — Shattuck-St. Mary's Hockey is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Shattuck-St. Mary's Hockey,shattucksaintmarys.org,Custom / Active Network,3,"Entrenched (Custom / Active Network) — low switching, but high volume",100,750,Midwest,2,Research Required,Summer Hockey Camp Director,,,Visit s-sm.org/hockey-center,linkedin,Payment optimization question for Shattuck-St. Mary's Hockey,Hi there — Shattuck-St. Mary's Hockey is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Chicago Mission AAA,chicagomission.com,Custom (WordPress),1,DIY/Custom/Unknown — highest switching potential,100,750,Midwest,1,Tom Mandarino,Girls Program Director,tomd@jrmission.com,,chicagomission.com staff page,email,Quick question about Chicago Mission AAA's registration setup,"Hi Tom,

I came across Chicago Mission AAA while mapping top Hockey programs in Midwest — impressive what you've built. I noticed you're handling registration and payments through a custom setup, which usually means you've outgrown what the off-the-shelf platforms offer.

We work with programs like yours to modernize payment collection — better parent UX, faster reconciliation, lower processing fees — without disrupting what's already working. No platform lock-in, no long-term contracts.

Would 15 minutes this week make sense? Happy to show you what it looks like for a program at Chicago Mission AAA's level.

Best,
[Your Name]
[Company] | [Phone]"
Hockey,Chicago Mission AAA,chicagomission.com,Custom (WordPress),1,DIY/Custom/Unknown — highest switching potential,100,750,Midwest,2,Gino Cavallini,Boys Program Director,ginoc@jrmission.com,,chicagomission.com staff page,email,Quick question about Chicago Mission AAA's registration setup,"Hi Gino,

I came across Chicago Mission AAA while mapping top Hockey programs in Midwest — impressive what you've built. I noticed you're handling registration and payments through a custom setup, which usually means you've outgrown what the off-the-shelf platforms offer.

We work with programs like yours to modernize payment collection — better parent UX, faster reconciliation, lower processing fees — without disrupting what's already working. No platform lock-in, no long-term contracts.

Would 15 minutes this week make sense? Happy to show you what it looks like for a program at Chicago Mission AAA's level.

Best,
[Your Name]
[Company] | [Phone]"
Hockey,Honeybaked Hockey,honeybakedhockey.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",100,750,Midwest,1,Research Required,Executive Director,info@honeybakedhockey.com,,honeybakedhockey.com,linkedin,Payment fees for Honeybaked Hockey on SportsEngine — worth a look,Hi there — Honeybaked Hockey is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Honeybaked Hockey,honeybakedhockey.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",100,750,Midwest,2,Research Required,Club Administrator,,,Visit honeybakedhockey.com/staff,linkedin,Payment fees for Honeybaked Hockey on SportsEngine — worth a look,Hi there — Honeybaked Hockey is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Tri-City Storm,stormhockey.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",100,750,Midwest,1,Research Required,Hockey Director,info@stormhockey.com,,stormhockey.com,linkedin,Payment fees for Tri-City Storm on SportsEngine — worth a look,Hi there — Tri-City Storm is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Tri-City Storm,stormhockey.com,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",100,750,Midwest,2,Research Required,General Manager,,,Visit stormhockey.com/contact,linkedin,Payment fees for Tri-City Storm on SportsEngine — worth a look,Hi there — Tri-City Storm is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Boston Jr. Bruins,jrbruins.com,Crossbar,2,Small platform (Crossbar) — upgrade opportunity,100,750,Northeast,1,Mike Anderson,Staff / Program Director,mike@bostonjuniorbruins.com,,bostonjuniorbruins.org,email,For Boston Jr. Bruins on Crossbar — a quick thought,"Hi Mike,

I noticed Boston Jr. Bruins is running on Crossbar — great choice for team management and schedules. We work alongside Crossbar with several elite Hockey clubs to handle the payment layer specifically: processing fees, failed payments, and manual reconciliation are often where clubs feel the most friction.

We layer in cleanly without replacing Crossbar for everything it does well. Worth 15 minutes to show you how it works for a club your size?

Best,
[Your Name]
[Company] | [Phone]"
Hockey,Boston Jr. Bruins,jrbruins.com,Crossbar,2,Small platform (Crossbar) — upgrade opportunity,100,750,Northeast,2,Research Required,Executive Director,,,Visit bostonjuniorbruins.org/staff,linkedin,For Boston Jr. Bruins on Crossbar — a quick thought,"Hi there — noticed Boston Jr. Bruins is on Crossbar. We work with several Crossbar Hockey clubs to reduce the payment friction layer (fees, failed cards, reconciliation). Would a quick 15-min call be worth it?"
Hockey,Team Illinois Hockey,teamillib.com,,1,DIY/Custom/Unknown — highest switching potential,100,750,Midwest,1,Research Required,Executive Director,,,teamillinois.com — verify correct domain,linkedin,Quick question about Team Illinois Hockey's registration setup,Hi there — I came across Team Illinois Hockey while researching elite Hockey programs in Midwest. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Hockey,Team Illinois Hockey,teamillib.com,,1,DIY/Custom/Unknown — highest switching potential,100,750,Midwest,2,Research Required,Club Administrator,,,Manual research required,linkedin,Quick question about Team Illinois Hockey's registration setup,Hi there — I came across Team Illinois Hockey while researching elite Hockey programs in Midwest. Quick question: have you explored alternatives to your current payment/registration setup? We work with similar clubs and typically save them time and money without disrupting what's already working. Worth a quick 15-min chat?
Hockey,Colorado Thunderbirds,coloradothunderbirds.org,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",100,750,Mountain West,1,Research Required,Executive Director,info@coloradothunderbirds.org,,coloradothunderbirds.org,linkedin,Payment fees for Colorado Thunderbirds on SportsEngine — worth a look,Hi there — Colorado Thunderbirds is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,Colorado Thunderbirds,coloradothunderbirds.org,SportsEngine,3,"Entrenched (SportsEngine) — low switching, but high volume",100,750,Mountain West,2,Research Required,Club Administrator,,,Visit tbirdhockey.org/staff,linkedin,Payment fees for Colorado Thunderbirds on SportsEngine — worth a look,Hi there — Colorado Thunderbirds is one of the top Hockey programs in the country. I work with similar clubs on reducing payment processing costs and improving family payment experience. Would a quick 15-minute conversation make sense?
Hockey,New Jersey Rockets,njrockets.com,Crossbar,2,Small platform (Crossbar) — upgrade opportunity,100,750,Northeast,1,Dave Ball,Hockey Director,info@rocketshockeyclub.com,,rocketshockeyclub.com/about/rhc-staff,email,For New Jersey Rockets on Crossbar — a quick thought,"Hi Dave,

I noticed New Jersey Rockets is running on Crossbar — great choice for team management and schedules. We work alongside Crossbar with several elite Hockey clubs to handle the payment layer specifically: processing fees, failed payments, and manual reconciliation are often where clubs feel the most friction.

We layer in cleanly without replacing Crossbar for everything it does well. Worth 15 minutes to show you how it works for a club your size?

Best,
[Your Name]
[Company] | [Phone]"
