sport,program,homepage,registration_url,platform_detected,notes
Baseball,Five Tool Baseball,fivetoolbaseball.com,https://fivetool.leagueapps.com/,LeagueApps,Confirmed at fivetool.leagueapps.com; major Sunbelt showcase circuit with 13U–17U championship divisions; tournament entry and payment via LeagueApps.
Baseball,Prep Baseball Report (PBR),prepbaseballreport.com,https://www.prepbaseballreport.com/events,Custom In-House,State-by-state player rankings and showcase events org; custom event registration at prepbaseballreport.com; no third-party sports platform identified.
Baseball,USA Baseball Youth Events,usabaseball.com,https://www.usabaseball.com/events,Custom In-House,National governing body; custom event/registration portal for youth national team trials and development programs; Genius Sports/custom backend.
Baseball,Mid-South Baseball,midsouthbaseball.com,N/A — custom site,Unknown / Custom,Regional travel ball organization; no specific registration platform confirmed from web searches.
Baseball,Power Baseball,powerbaseballnational.com,N/A — custom site,Unknown / Custom,National tournament/travel program; no specific registration platform confirmed from web searches.
Hockey,Pittsburgh Penguins Elite,pittsburghpenguinselite.com,https://pittsburghpenguinselite.sportngin.com/,SportsEngine,Confirmed at pittsburghpenguinselite.sportngin.com; official AAA affiliate of Pittsburgh Penguins; all tryouts and season registrations on SportsEngine.
Hockey,Detroit Compuware,compuwarehockey.com,https://compuwarehockey.sportngin.com/,SportsEngine,Confirmed at compuwarehockey.sportngin.com; one of USA's most decorated youth hockey programs; SportsEngine handles all tryouts and team fees.
Hockey,Buffalo Jr. Sabres,buffalojrsabres.com,https://buffalojrsabres.com/registration/,PayPal (direct),"Confirmed: direct PayPal payment links on buffalojrsabres.com; tryout and season fees collected via PayPal; no third-party sports registration platform detected."
Hockey,Dallas Stars Elite,dallasstarselite.com,https://dsehc.sportngin.com/,SportsEngine,Confirmed at dsehc.sportngin.com (Dallas Stars Elite Hockey Club); AAA affiliate of Dallas Stars NHL franchise; all program registration on SportsEngine.
Hockey,Carolina Jr. Hurricanes,juniorhurricanes.com,https://juniorhurricanes.leagueapps.com/,LeagueApps,Confirmed at juniorhurricanes.leagueapps.com; AAA affiliate of Carolina Hurricanes; full-season and tryout registration on LeagueApps.
Hockey,Omaha AAA Hockey,omahaahockey.com,https://omahaahockey.com.app.crossbar.org/,Crossbar,"Confirmed migration announcement to Crossbar; Nebraska's premier AAA program; all registrations, payments, and schedules on Crossbar."
Hockey,Green Bay Jr. Gamblers,gbjrgamblers.com,https://gbjrgamblers.com.app.crossbar.org/,Crossbar,"GBAYHA (Green Bay Area Youth Hockey Association) confirmed Crossbar as management platform; Jr. Gamblers program registrations and fees via Crossbar."
Hockey,North Jersey Avalanche,northjerseyavalanche.com,N/A — custom site,Unknown / Custom,NJ-based AAA program; no third-party sports registration platform confirmed from web searches; custom site likely.
Hockey,Nashville Jr. Predators,jrpredators.com,https://jrpredators.leagueapps.com/,LeagueApps,"Confirmed at jrpredators.leagueapps.com; Tier I AAA and Tier II AA registrations; multiple event types including tryouts at /events/4146574. Contact: Nashville Youth Hockey League."
Hockey,Connecticut Polar Bears,ctpb.com,https://ctpb.com.app.crossbar.org/,Crossbar,Confirmed: ctpb.com.app.crossbar.org; Girls hockey powerhouse (12 national championships); all tryout and program registrations via Crossbar white-label subdomain.
Hockey,Phoenix Jr. Coyotes,jrcoyotes.org,https://jrcoyotes.sportngin.com/,SportsEngine,"Confirmed at jrcoyotes.sportngin.com; AAA affiliate of Arizona Coyotes franchise; 2025 AZYHL Tryout registration at /register/form/909710871; also Scottsdale-based Elite levels."
Hockey,Western Mass Warriors,westernmasswarriors.com,N/A — site not confirmed,Unknown / Custom,No specific registration platform confirmed; search returned no distinct Western Mass Warriors AAA hockey organization; possibly a local-only program.
Hockey,Minnesota Wild Youth,mnwildhockey.com,https://wildicehockey.sportngin.com/,SportsEngine,"Campus Wild Youth Hockey Club (Minnesota Wild affiliate) confirmed at wildicehockey.sportngin.com; 2025-2026 season registration on SportsEngine; accepts Visa/MC/Discover/ACH."
Hockey,Los Angeles Jr. Kings,lajrkings.com,https://lajrkings.sportngin.com/,SportsEngine,LA Kings NHL affiliate youth AAA program; sportngin.com infrastructure confirmed for Jr. Kings registration and tryout events in Southern California.
Hockey,San Jose Jr. Sharks,jrsharkshockey.com,https://jrsharkshockey.sportngin.com/,SportsEngine,San Jose Sharks NHL affiliate youth program; confirmed SportsEngine presence; tryouts and AAA season registration via sportngin platform.
Soccer,RSL Arizona,rsl-az.com,https://rsl-az.sportngin.com/,SportsEngine,Confirmed at rsl-az.sportngin.com; MLS affiliate academy (Real Salt Lake); ECNL and Development Academy programs registered via SportsEngine.
Soccer,Michigan Hawks,michiganhawks.com,https://michiganhawks.com/registration/,Custom (BYGA),BYGA (Blue Yellow Green Academy) custom registration portal; Michigan's largest club with 1000+ players; no third-party sports platform fingerprint detected.
Soccer,Sockers FC Chicago,sockersfc.com,https://www.sportsengine.com/org/sockers-fc-chicago,SportsEngine,Confirmed at sportsengine.com/org/sockers-fc-chicago; major Midwest ECNL club; SportsEngine handles all tryout and team registration.
Soccer,Ohio Premier Soccer,ohiopremier.com,https://ohiopremier.sportngin.com/,SportsEngine,Confirmed Ohio Premier on SportsEngine; ECNL and ECNL-R programs; sportngin.com domain pattern confirmed.
Soccer,GPS Massachusetts,gpsmassachusetts.com,https://gpsmassachusetts.sportngin.com/,SportsEngine,Global Premier Soccer – Massachusetts confirmed on SportsEngine; ECNL and Academy programs; tryout registration via sportngin.
Soccer,Weston FC,westonfc.org,https://westonfc.org/registration/,Stack Sports (GotSport),"Confirmed: Weston FC uses GotSport (now part of Stack Sports/Sports Connect) for tryout and tournament registration; FL-based ECNL club."
Soccer,Beach FC,beachfc.com,https://beachfc.sportngin.com/,SportsEngine,Virginia Beach-based premier club; confirmed SportsEngine presence at beachfc.sportngin.com; ECNL and regional programs on platform.
Soccer,Crossfire Premier,crossfirepremier.com,https://crossfirepremier.sportngin.com/,SportsEngine,Washington state ECNL powerhouse; confirmed at crossfirepremier.sportngin.com; all tryout and season registrations via SportsEngine.
Soccer,Florida Premier FC,floridapremierfc.com,https://floridapremierfc.sportngin.com/,SportsEngine,FL-based ECNL program; confirmed SportsEngine presence; tryout fees and season registration via sportngin platform.
Soccer,FC Stars Massachusetts,fcstars.org,https://www.fcstars.org/registration,PlayMetrics,"Confirmed: NCFC Youth, FC Stars, and affiliated ECNL programs use PlayMetrics; players directed to their Playmetrics account for Intent to Play and registration."
Soccer,St. Louis Scott Gallagher,slsgsoccer.com,https://www.sportsengine.com/org/st-louis-scott-gallagher-soccer-club,SportsEngine,"Confirmed at sportsengine.com/org/st-louis-scott-gallagher-soccer-club; one of USA's largest clubs (275 teams); MLS Next member; all programs via SportsEngine."
Soccer,Heat FC (San Diego),heatfc.com,https://fcheat.elitesoccerclubs.com/,Custom (Elite Soccer Clubs),"FC Heat (Escondido/San Diego area) uses elitesoccerclubs.com custom platform; no SportsEngine or LeagueApps fingerprint confirmed for main registration portal."
Soccer,Albion SC,albionsc.com,https://www.sportsengine.com/org/albion-sc,SportsEngine,"National ECNL network with regional chapters (San Diego, Las Vegas, San Jose, etc.); primary chapters on SportsEngine; some regional subdomains also use LeagueApps for tournaments."
Soccer,Charlotte Soccer Academy,charlottesocceracademy.com,https://charlottesocceracademy.leagueapps.com/,LeagueApps,"Confirmed at charlottesocceracademy.leagueapps.com; ECNL Boys and Girls programs; tryouts and season registration via LeagueApps."
Soccer,Tampa Bay United,tampabayunited.com,https://www.sportsengine.com/org/tampa-bay-united,SportsEngine,"Major FL ECNL club; confirmed SportsEngine presence at sportsengine.com/org/tampa-bay-united; elite academy and competitive programs registered via SportsEngine."
Basketball,Expressions Elite,expressionselite.com,https://www.sportsengine.com/org/expressions-elite,SportsEngine,Confirmed SportsEngine presence; Virginia-based elite EYBL Nike program; season and tryout registration via SportsEngine; camp registrations also on LeagueApps.
Basketball,Drive Nation,drivenation.com,https://drivenation.com/registration/,DaySmart Recreation,Confirmed: Drive Nation uses DaySmart Recreation (formerly ActiveNet) for membership and program registration; Texas-based elite training program.
Basketball,Mass Rivals,massrivals.com,https://massrivals.sportngin.com/,SportsEngine,"Confirmed at massrivals.sportngin.com; New England Nike EYBL powerhouse; primary SportsEngine for season registration; additional LeagueApps presence for some camps."
Basketball,King James Shooting Stars,shootingstarsbball.com,https://shootingstarsbb.leagueapps.com/,LeagueApps,Confirmed at shootingstarsbb.leagueapps.com; LeBron James's hometown Akron-area program; full LeagueApps platform for registration and payments.
Basketball,Georgia Stars,gastars.org,http://gastars.org/,Custom (WordPress),"Custom WordPress site at gastars.org; checks and money orders accepted per program documentation; 11 national championships, 62 state championships; no third-party sports platform identified."
Basketball,Texas Titans,titanshoop.com,https://www.sportsengine.com/org/texas-titans-basketball,SportsEngine,"Confirmed at sportsengine.com/org/texas-titans-basketball; North Dallas AAU program covering Lewisville/Grapevine/The Colony area; season registration via SportsEngine."
Basketball,Colorado Hawks,coloradohawksbasketball.com,N/A — custom site,Unknown / Custom,Colorado-based elite AAU program; no third-party sports registration platform confirmed from web searches; custom site likely.
Basketball,New England Playmakers,neplaymakers.com,https://neplaymakers.leagueapps.com/,LeagueApps,"Confirmed at neplaymakers.leagueapps.com; events and location pages live on platform; New England AAU program with Spring basketball at Pingree School; $175/player fee."
Basketball,Team Texas,teamtexashoops.com,N/A — custom site,Unknown / Custom,Texas-based elite AAU program; no specific third-party platform confirmed; Exposure Events used for some tournament entry.
Basketball,Philly Pride,phillypridebball.com,https://pridebasketball21usa.leagueapps.com/,LeagueApps,Confirmed at pridebasketball21usa.leagueapps.com; Philadelphia-area elite AAU program; season registration and tryout payment via LeagueApps.
Basketball,Houston Defenders,houstondefenders.com,N/A — custom site,Unknown / Custom,Houston-area AAU program; no specific third-party registration platform confirmed from web searches.
Basketball,Dream Vision NY,dreamvisionny.com,N/A — custom site,Unknown / Custom,New York-based elite AAU program; Dream Vision roster found on PrepCircuit (SportsEngine) but no dedicated club registration platform confirmed.
Basketball,Indiana Elite,indianaelitebasketball.com,https://indianaelitebasketball.com/tryout-information/,Custom / PayPal,Confirmed: participant entry forms followed by PayPal payment link at indianaelitebasketball.com; grassroots program developing Division I talent since 2000; no third-party sports platform.
Basketball,Oregon Nike Elite,oregonnike.org,N/A — custom site,Unknown / Custom,Oregon-based Nike-affiliated EYBL program; no specific registration platform confirmed from web searches; Rotary Style Basketball may share infrastructure.
Basketball,Seattle Rotary,rotarystylebasketball.org,https://www.rotarystylebasketball.org/,Custom (FreshBooks),Rotary Style Basketball (founded 1991); switched to FreshBooks for invoicing/payment in 2016; no third-party sports platform; custom billing via FreshBooks.
Lacrosse,Crabs Lacrosse,crabslax.com,https://crabslax.leagueapps.com/,LeagueApps,Confirmed at crabslax.leagueapps.com; Maryland-based premier program; all tryouts and season registration on LeagueApps including team rosters and tournament entries.
Lacrosse,Sweetlax Florida,sweetlaxflorida.com,https://slflorida.leagueapps.com/,LeagueApps,"Confirmed at slflorida.leagueapps.com (and sweetlax.leagueapps.com for main org); national Sweetlax network operates entirely on LeagueApps across all regional chapters (FL, Carolina, Upstate, etc.)."
Lacrosse,Atlas Lacrosse Club,atlaslacroseclub.com,https://nyatlasyouth-pll.leagueapps.com/,LeagueApps,"PLL Juniors New York Atlas confirmed at nyatlasyouth-pll.leagueapps.com; national Atlas LAX Club programs use LeagueApps for youth registration and payment."
Lacrosse,Lax Factory,laxfactory.com,https://laxfactory.leagueapps.com/,LeagueApps,"Confirmed at laxfactory.leagueapps.com; Girls Club Teams registration shows $300/player fee; featured in LeagueApps infographic ""25 Lacrosse Clubs Using LeagueApps."""
Lacrosse,DC Express Lacrosse,dcexpresslacrosse.com,https://dcexpress.leagueapps.com/,LeagueApps,"Confirmed at dcexpress.leagueapps.com; also dcllax.leagueapps.com found; DC/MD/VA region premier program; all registration and payment via LeagueApps."
Lacrosse,Pride Lacrosse New England,pridelacrosse.com,https://pridelacrosse.leagueapps.com/,LeagueApps,Confirmed at pridelacrosse.leagueapps.com (labeled Heat Lacrosse on site); NE-area premier program; all event and season registrations via LeagueApps.
Lacrosse,Ultimate Lacrosse,ultimategoallacrosse.com,https://ultimategoallacrosse.leagueapps.com/,LeagueApps,"Confirmed at ultimategoallacrosse.leagueapps.com; multi-state program (PA, Charlotte, etc.); membership/tournament packages and season registrations all via LeagueApps."
Lacrosse,CT Hammerheads,cthammerheads.com,https://hammerheadlacrosse.sportngin.com/,SportsEngine,"Confirmed at hammerheadlacrosse.sportngin.com; 2026 Boys Spring Hammerhead Lacrosse registration live; Connecticut premier program using SportsEngine for all registrations."
Lacrosse,Big 4 Lacrosse,big4lacrosse.com,https://big4lacrosseboys.leagueapps.com/,LeagueApps,"Confirmed at big4lacrosseboys.leagueapps.com and big4lacrossegirls.leagueapps.com; boys and girls programs separately on LeagueApps; Big 4 HHH events and Champions League Showcase registered via platform."
Lacrosse,Carolina LAX,carolinalax.com,https://teamcarolinalax.leagueapps.com/,LeagueApps,"Confirmed at teamcarolinalax.leagueapps.com and teamcarolina.leagueapps.com; Carolina-area premier program; full season/tryout registration via LeagueApps."
Volleyball,A5 Volleyball,a5volleyball.com,https://www.a5volleyball.com/registration/,Custom (Sportwrench),Custom registration via Sportwrench at a5volleyball.com; Atlanta-based premier club with 30+ national championship titles; no third-party sports platform fingerprint detected.
Volleyball,Munciana Volleyball,munciana.com,https://register.munciana.com/,Custom (register.munciana.com),Custom registration portal at register.munciana.com; Indiana-based nationally ranked AVCA program; in-house payment system; no SportsEngine or LeagueApps detected.
Volleyball,Colorado Fusion VBC,coloradofusionvbc.com,https://fusionvbc.leagueapps.com/,LeagueApps,Confirmed at fusionvbc.leagueapps.com; Colorado's premier AVCA-member junior club; tryout and season registration on LeagueApps.
Volleyball,Long Beach Volleyball Club,lbvc.net,https://longbeachvbc.sportngin.com/,SportsEngine,Confirmed at longbeachvbc.sportngin.com; Southern California elite AVCA club; season registration and tryout fees via SportsEngine.
Volleyball,Elevate Volleyball,elevatevolleyball.com,https://elevatevolleyball.sportngin.com/,SportsEngine,Confirmed SportsEngine presence at elevatevolleyball.sportngin.com; Pacific Northwest premier AVCA program; all team and tryout registration on platform.
Volleyball,KIVA Volleyball,kivasports.net,https://register.kivasports.net/,Custom (register.kivasports.net),"Confirmed at register.kivasports.net; Louisville KY premier AVCA program; custom registration portal at kivasports.net; no SportsEngine or LeagueApps detected."
Volleyball,Beverly Bandits VB,beverlybandits.org,N/A — primarily softball org,Unknown / Custom,"Beverly Bandits is primarily a fastpitch softball organization; no confirmed separate Beverly Bandits volleyball club identified. Search returned no VBC registration platform for this name."
Volleyball,Club Gold Volleyball (TX),clubgoldvb.com,https://clubgoldvb.sportngin.com/,SportsEngine,"Confirmed at clubgoldvb.sportngin.com and clubgoldsouthvolleyball.sportngin.com; 2022-23 tryout registration required pre-registration online; no walk-in registration. Texas AVCA program."
Volleyball,Sports Performance VBC,spvbc.net,https://sacperformancevb.sportngin.com/,SportsEngine,"Sacramento Performance Volleyball Club (SPVBC) confirmed at sacperformancevb.sportngin.com; AVCA member; monthly auto-payment or credit card for season dues."
Volleyball,Crossroads of America VBC,coavolleyball.com,https://coavolleyball.sportngin.com/,SportsEngine,"Confirmed at coavolleyball.sportngin.com; Indiana-based AVCA club; 2025-2026 Boys Club Season registration at /register/form/099686836; summer camps and group lessons also on platform."
Volleyball,Club K Volleyball,clubkvolleyball.com,N/A — custom site,Unknown / Custom,No specific registration platform confirmed from web searches; club name and region not determined from search results. Possible overlap with K-Elites VBC (kelitesvolleyball.sportngin.com).
Volleyball,Great Plains Region Volleyball,greatplainsvolleyball.org,https://greatplainsregionalvolleyball.sportngin.com/,SportsEngine,"Confirmed at greatplainsregionalvolleyball.sportngin.com; Omaha NE-based regional governing body; tryout, training, and refund request forms all on SportsEngine."
Volleyball,Illinois Valley Juniors VBC,ivjvbc.com,https://illinoisjuniors.sportngin.com/,SportsEngine,"Illinois Juniors Volleyball Club (IJVC) confirmed at illinoisjuniors.sportngin.com; 2022-23 boys and girls tryout registrations on platform; summer camps also via SportsEngine."
Volleyball,NOVA Volleyball,novavbc.com,https://novaprestigevolleyball.sportngin.com/,SportsEngine,"Nova Prestige Volleyball Club (Northern Virginia) confirmed at novaprestigevolleyball.sportngin.com; Northern Virginia Volleyball Association (nvva.sportngin.com and nvva.leagueapps.com) also in region."
Volleyball,Rox Volleyball,roxvb.com,N/A — custom/Shopify,Custom (Shopify),Confirmed: Rox Volleyball uses Shopify-based e-commerce for registration/merchandise; no dedicated sports management platform detected; custom storefront for fee collection.
Softball,Texas Bombers Gold,texasbombers.com,https://register.ryzer.com/,Ryzer,"Confirmed: teampayments.ryzerevents.com and register.ryzer.com; Texas Bombers Gold (18Gold/16Gold) uses Ryzer for all team fee collection; high-volume travel softball program."
Softball,Georgia Impact,georgiaimpact.com,https://georgiaimpact.sportngin.com/,SportsEngine,Confirmed at georgiaimpact.sportngin.com; elite Southeastern travel softball program; USSSA and ASA-affiliated; all tryout and season registration via SportsEngine.
Softball,Beverly Bandits Softball,beverlybandits.org,https://beverlybandits.sportngin.com/,SportsEngine,"Confirmed at beverlybandits.sportngin.com; Illinois-based premier fastpitch program; season registration, tryout fees, and camp sign-ups all on SportsEngine."
Softball,Texas Glory,texasglory.com,https://txglory.sportngin.com/,SportsEngine,Confirmed at txglory.sportngin.com; Texas-based elite ASA/PGF-affiliated program; all season registration and payment via SportsEngine.
Softball,Firecrackers Softball,firecrackersoftball.com,https://firecrackersoftball.sportngin.com/,SportsEngine,"Confirmed at firecrackersoftball.sportngin.com; national brand with multiple regional chapters (national, SoCal, Western, etc.); primary platform is SportsEngine across chapters."
Softball,East Cobb Bullets,eastcobbbullets.com,https://eastcobbbullets.sportngin.com/,SportsEngine,Confirmed at eastcobbbullets.sportngin.com; nationally ranked GA-based travel program; season registration and tryouts via SportsEngine; PGF and Triple Crown affiliated.
Softball,Corona Angels,coronaangels.com,https://coronaangels.sportngin.com/,SportsEngine,SoCal-based elite PGF-affiliated program; confirmed SportsEngine presence at coronaangels.sportngin.com; season registration and tryout registration via platform.
Softball,OC Batbusters,ocbatbusters.com,N/A — custom site,Unknown / Custom,"OC Batbusters Fernandez (founded 1979); confirmed at ocbatbusters.com; 30+ national championships; no third-party sports registration platform confirmed. batbusters.org (separate entity) also found."
Softball,Carolina Chaos Softball,carolinachaos.org,N/A — platform ambiguous,Unknown / Custom,"Search returned Carolina CHAOS Volleyball Club (carolinachaosvolleyballclub.sportngin.com) and Carolina Chaos Lacrosse Juniors (leagueapps.com); no softball-specific Carolina Chaos confirmed."
Softball,Ohio Outlaws Fastpitch,ohiooutlaws.com,N/A — custom site,Unknown / Custom,Search returned PA Outlaws (outlawsfp.sportngin.com) and Mizuno Outlaws (leagueapps.com); no Ohio Outlaws-specific registration platform confirmed.
Swimming,PASA (Palo Alto Stanford Aquatics),pausd.org/pasa,https://pasa.sportngin.com/,SportsEngine,"Confirmed at pasa.sportngin.com; nationally elite club producing multiple Olympic medalists; season registration, meet entries, and dues via SportsEngine."
Swimming,Nation's Capital Swim Club (NCAP),ncapswim.com,https://www.gomotionapp.com/team/pvncs/page/registration-2,TeamUnify,"Confirmed at gomotionapp.com/team/pvncs (TeamUnify GoMotion); $98 registration fee billed to TeamUnify account; credit card 3% fee or ACH at $1.25/mo; USA Swimming reg required."
Swimming,Badger Swim Club,badgerswimsport.com,https://www.gomotionapp.com/team/mrbsc/page/home,TeamUnify,"Confirmed at gomotionapp.com/team/mrbsc and teamunify.com/team/mrbsc; Wisconsin-based elite club; returning swimmers register via TeamUnify; separate USA Swimming fee required."
Swimming,Mission Viejo Nadadores,mvnadadores.org,https://www.gomotionapp.com/team/scmvnm/page/membership/mvn-fees-and-policies,TeamUnify,"Confirmed at gomotionapp.com/team/scmvnm; $50 annual Nadadores membership; monthly dues via credit card (3% fee) or ACH ($1.25/mo) through TeamUnify; Olympic-level club."
Swimming,Phoenix Swim Club,phoenixswimclub.org,https://www.gomotionapp.com/team/azbest/page/home,TeamUnify (SportsEngine Motion),"Confirmed at gomotionapp.com/team/azbest; phoenixswimclub.org powered by SportsEngine Motion; store and program registration via GoMotion/TeamUnify; Paradise Valley AZ elite club."
